,Date,DISTRICT,Weather Condition
0,2020-01-01,Arghakhanchi,Clear
1,2020-01-02,Arghakhanchi,Clear
2,2020-01-03,Arghakhanchi,Clear
3,2020-01-04,Arghakhanchi,Clear
4,2020-01-05,Arghakhanchi,Clear
5,2020-01-06,Arghakhanchi,Clear
6,2020-01-07,Arghakhanchi,Clear
7,2020-01-08,Arghakhanchi,Clear
8,2020-01-09,Arghakhanchi,Clear
9,2020-01-10,Arghakhanchi,Clear
10,2020-01-11,Arghakhanchi,Clear
11,2020-01-12,Arghakhanchi,Clear
12,2020-01-13,Arghakhanchi,Clear
13,2020-01-14,Arghakhanchi,Clear
14,2020-01-15,Arghakhanchi,Clear
15,2020-01-16,Arghakhanchi,Clear
16,2020-01-17,Arghakhanchi,Clear
17,2020-01-18,Arghakhanchi,Clear
18,2020-01-19,Arghakhanchi,Clear
19,2020-01-20,Arghakhanchi,Clear
20,2020-01-21,Arghakhanchi,Clear
21,2020-01-22,Arghakhanchi,Clear
22,2020-01-23,Arghakhanchi,Clear
23,2020-01-24,Arghakhanchi,Clear
24,2020-01-25,Arghakhanchi,Clear
25,2020-01-26,Arghakhanchi,Clear
26,2020-01-27,Arghakhanchi,Clear
27,2020-01-28,Arghakhanchi,Clear
28,2020-01-29,Arghakhanchi,Clear
29,2020-01-30,Arghakhanchi,Clear
30,2020-01-31,Arghakhanchi,Clear
31,2020-02-01,Arghakhanchi,Clear
32,2020-02-02,Arghakhanchi,Clear
33,2020-02-03,Arghakhanchi,Clear
34,2020-02-04,Arghakhanchi,Clear
35,2020-02-05,Arghakhanchi,Clear
36,2020-02-06,Arghakhanchi,Clear
37,2020-02-07,Arghakhanchi,Clear
38,2020-02-08,Arghakhanchi,Clear
39,2020-02-09,Arghakhanchi,Clear
40,2020-02-10,Arghakhanchi,Clear
41,2020-02-11,Arghakhanchi,Clear
42,2020-02-12,Arghakhanchi,Clear
43,2020-02-13,Arghakhanchi,Clear
44,2020-02-14,Arghakhanchi,Clear
45,2020-02-15,Arghakhanchi,Clear
46,2020-02-16,Arghakhanchi,Clear
47,2020-02-17,Arghakhanchi,Clear
48,2020-02-18,Arghakhanchi,Clear
49,2020-02-19,Arghakhanchi,Clear
50,2020-02-20,Arghakhanchi,Clear
51,2020-02-21,Arghakhanchi,Clear
52,2020-02-22,Arghakhanchi,Clear
53,2020-02-23,Arghakhanchi,Clear
54,2020-02-24,Arghakhanchi,Clear
55,2020-02-25,Arghakhanchi,Clear
56,2020-02-26,Arghakhanchi,Clear
57,2020-02-27,Arghakhanchi,Clear
58,2020-02-28,Arghakhanchi,Clear
59,2020-02-29,Arghakhanchi,Clear
60,2020-03-01,Arghakhanchi,Clear
61,2020-03-02,Arghakhanchi,Clear
62,2020-03-03,Arghakhanchi,Clear
63,2020-03-04,Arghakhanchi,Clear
64,2020-03-05,Arghakhanchi,Clear
65,2020-03-06,Arghakhanchi,Clear
66,2020-03-07,Arghakhanchi,Clear
67,2020-03-08,Arghakhanchi,Clear
68,2020-03-09,Arghakhanchi,Clear
69,2020-03-10,Arghakhanchi,Clear
70,2020-03-11,Arghakhanchi,Clear
71,2020-03-12,Arghakhanchi,Clear
72,2020-03-13,Arghakhanchi,Clear
73,2020-03-14,Arghakhanchi,Clear
74,2020-03-15,Arghakhanchi,Clear
75,2020-03-16,Arghakhanchi,Clear
76,2020-03-17,Arghakhanchi,Clear
77,2020-03-18,Arghakhanchi,Clear
78,2020-03-19,Arghakhanchi,Clear
79,2020-03-20,Arghakhanchi,Clear
80,2020-03-21,Arghakhanchi,Clear
81,2020-03-22,Arghakhanchi,Clear
82,2020-03-23,Arghakhanchi,Clear
83,2020-03-24,Arghakhanchi,Clear
84,2020-03-25,Arghakhanchi,Clear
85,2020-03-26,Arghakhanchi,Clear
86,2020-03-27,Arghakhanchi,Clear
87,2020-03-28,Arghakhanchi,Clear
88,2020-03-29,Arghakhanchi,Clear
89,2020-03-30,Arghakhanchi,Clear
90,2020-03-31,Arghakhanchi,Clear
91,2020-04-01,Arghakhanchi,Clear
92,2020-04-02,Arghakhanchi,Clear
93,2020-04-03,Arghakhanchi,Clear
94,2020-04-04,Arghakhanchi,Clear
95,2020-04-05,Arghakhanchi,Clear
96,2020-04-06,Arghakhanchi,Clear
97,2020-04-07,Arghakhanchi,Clear
98,2020-04-08,Arghakhanchi,Clear
99,2020-04-09,Arghakhanchi,Clear
100,2020-04-10,Arghakhanchi,Clear
101,2020-04-11,Arghakhanchi,Clear
102,2020-04-12,Arghakhanchi,Clear
103,2020-04-13,Arghakhanchi,Clear
104,2020-04-14,Arghakhanchi,Clear
105,2020-04-15,Arghakhanchi,Clear
106,2020-04-16,Arghakhanchi,Clear
107,2020-04-17,Arghakhanchi,Clear
108,2020-04-18,Arghakhanchi,Clear
109,2020-04-19,Arghakhanchi,Clear
110,2020-04-20,Arghakhanchi,Clear
111,2020-04-21,Arghakhanchi,Clear
112,2020-04-22,Arghakhanchi,Clear
113,2020-04-23,Arghakhanchi,Clear
114,2020-04-24,Arghakhanchi,Clear
115,2020-04-25,Arghakhanchi,Clear
116,2020-04-26,Arghakhanchi,Clear
117,2020-04-27,Arghakhanchi,Clear
118,2020-04-28,Arghakhanchi,Clear
119,2020-04-29,Arghakhanchi,Clear
120,2020-04-30,Arghakhanchi,Clear
121,2020-05-01,Arghakhanchi,Clear
122,2020-05-02,Arghakhanchi,Clear
123,2020-05-03,Arghakhanchi,Clear
124,2020-05-04,Arghakhanchi,Clear
125,2020-05-05,Arghakhanchi,Clear
126,2020-05-06,Arghakhanchi,Clear
127,2020-05-07,Arghakhanchi,Clear
128,2020-05-08,Arghakhanchi,Clear
129,2020-05-09,Arghakhanchi,Clear
130,2020-05-10,Arghakhanchi,Clear
131,2020-05-11,Arghakhanchi,Clear
132,2020-05-12,Arghakhanchi,Clear
133,2020-05-13,Arghakhanchi,Clear
